"raw_text","aspectTerms"
"The desserts are more appealing then stuffy overpriced French restaurants.","[{'term': 'desserts', 'polarity': 'positive'}]"
"The dim sum here is only so-so.","[{'term': 'dim sum', 'polarity': 'neutral'}]"
"The dim sum however was very good.","[{'term': 'dim sum', 'polarity': 'positive'}]"
"The dim sum is delectable while the prices are quite easy on the wallet.","[{'term': 'dim sum', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).","[{'term': 'dim sum', 'polarity': 'negative'}, {'term': 'little dishes', 'polarity': 'negative'}]"
"The dim sum servings here are a bit larger than I'm used to.","[{'term': 'dim sum servings', 'polarity': 'neutral'}]"
"The dining room is quietly elegant with no music to shout over -- how refreshing!","[{'term': 'dining room', 'polarity': 'positive'}, {'term': 'music', 'polarity': 'positive'}]"
"The dinner menu is diverse and top-notch as well.","[{'term': 'dinner menu', 'polarity': 'positive'}]"
"The dinner was ok, nothing I would have again.","[{'term': 'dinner', 'polarity': 'negative'}]"
"The dish had like 6 pieces of beef in it.","[{'term': 'dish', 'polarity': 'neutral'}, {'term': 'beef', 'polarity': 'neutral'}]"
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","[{'term': 'dishes', 'polarity': 'positive'}, {'term': 'lamb sausages', 'polarity': 'positive'}, {'term': 'sardines with biscuits', 'polarity': 'positive'}, {'term': 'large whole shrimp', 'polarity': 'positive'}, {'term': 'pistachio ice cream', 'polarity': 'positive'}]"
"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.","[{'term': 'dosas', 'polarity': 'negative'}, {'term': 'popcorn topping', 'polarity': 'neutral'}]"
"The drinks are a saving grace, but service staff, please, get over yourselves.","[{'term': 'drinks', 'polarity': 'positive'}, {'term': 'service staff', 'polarity': 'negative'}]"
"The drinks are always welll made and wine selection is fairly priced.","[{'term': 'drinks', 'polarity': 'positive'}, {'term': 'wine selection', 'polarity': 'neutral'}, {'term': 'priced', 'polarity': 'positive'}]"
"The duck confit is always amazing and the foie gras terrine with figs was out of this world.","[{'term': 'foie gras terrine with figs', 'polarity': 'positive'}, {'term': 'duck confit', 'polarity': 'positive'}]"
"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.","[{'term': 'eggplant parmesan', 'polarity': 'positive'}, {'term': 'baked ziti with meatsauce', 'polarity': 'positive'}, {'term': 'serves', 'polarity': 'positive'}]"
"The entertainment was great they have shows that go on through out the dinner.","[{'term': 'shows', 'polarity': 'positive'}, {'term': 'dinner', 'polarity': 'neutral'}, {'term': 'entertainment', 'polarity': 'positive'}]"
"The entire dining experience was wonderful!","[{'term': 'dining experience', 'polarity': 'positive'}]"
"The entire place and the treatment we received felt as a conveyor belt.","[{'term': 'place', 'polarity': 'negative'}]"
"The entree was bland and small, dessert was not inspired.","[{'term': 'entree', 'polarity': 'negative'}, {'term': 'dessert', 'polarity': 'negative'}]"
"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","[{'term': 'environment', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}]"
"The establishment scores big points in presentation and style.","[{'term': 'establishment', 'polarity': 'positive'}]"
"The exotic food is beautifully presented and is a delight in delicious combinations.","[{'term': 'exotic food', 'polarity': 'positive'}]"
"The filet mignon dish was superb!","[{'term': 'filet mignon dish', 'polarity': 'positive'}]"
"The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.","[{'term': 'fillings', 'polarity': 'neutral'}, {'term': 'dosa batter', 'polarity': 'positive'}]"
"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.","[{'term': 'courses', 'polarity': 'positive'}, {'term': 'chocolate sampler', 'polarity': 'negative'}, {'term': 'dessert wine', 'polarity': 'negative'}]"
"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","[{'term': 'live jazz band', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'Lobster Cobb Salad', 'polarity': 'neutral'}]"
"The first time the sushi was outstanding, the second time it was a little bland.","[{'term': 'sushi', 'polarity': 'conflict'}]"
"The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).","[{'term': 'fish', 'polarity': 'positive'}, {'term': 'sushi chef', 'polarity': 'positive'}, {'term': 'wasabi', 'polarity': 'positive'}, {'term': 'soy sauce', 'polarity': 'positive'}, {'term': 'sea salt', 'polarity': 'positive'}]"
"The fish is fresh but the variety of fish is nothing out of ordinary.","[{'term': 'fish', 'polarity': 'positive'}, {'term': 'variety of fish', 'polarity': 'negative'}]"
"The fish was adequate, but inexpertly sliced.","[{'term': 'fish', 'polarity': 'conflict'}]"
"The fish was not fresh and the rice tasted old and stale.","[{'term': 'fish', 'polarity': 'negative'}, {'term': 'rice', 'polarity': 'negative'}]"
"The flavors are great, and the menu is extensive.","[{'term': 'flavors', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}]"
"The flavors are very fresh and pretty inobtrusive, nothing flashy.","[{'term': 'flavors', 'polarity': 'positive'}]"
"The flavors robust and subtle.","[{'term': 'flavors', 'polarity': 'positive'}]"
"The food always tastes fresh and served promptly.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'served', 'polarity': 'positive'}]"
"The food and staff always surprise me with the new heights they are taken to.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}]"
"The food arrived 20 minutes after I called, cold and soggy.","[{'term': 'food', 'polarity': 'negative'}]"
"The food at this place is 'gourmet' Indian cuisine.","[{'term': 'food', 'polarity': 'neutral'}, {'term': ""'gourmet' Indian cuisine"", 'polarity': 'neutral'}]"
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'waiter', 'polarity': 'negative'}, {'term': 'wine', 'polarity': 'negative'}, {'term': 'meal', 'polarity': 'neutral'}]"
"The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.","[{'term': 'food', 'polarity': 'conflict'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'negative'}]"
"The food has been consistant for years and it never lets you down.","[{'term': 'food', 'polarity': 'positive'}]"
"The food here does a great service to the name (Cantonese that is...).","[{'term': 'food', 'polarity': 'positive'}, {'term': 'Cantonese', 'polarity': 'positive'}]"
"The food here is rather good, but only if you like to wait for it.","[{'term': 'food', 'polarity': 'positive'}]"
"The food however, is what one might expect.","[{'term': 'food', 'polarity': 'neutral'}]"
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'bhelpuri', 'polarity': 'positive'}, {'term': 'sevpuri', 'polarity': 'positive'}, {'term': 'samosa chaats', 'polarity': 'positive'}, {'term': 'indian appetizers', 'polarity': 'positive'}, {'term': 'bombay style chaat', 'polarity': 'positive'}]"
"The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'herbs', 'polarity': 'positive'}, {'term': 'tomatoes', 'polarity': 'positive'}]"
"The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).","[{'term': 'food', 'polarity': 'conflict'}, {'term': 'steak dish', 'polarity': 'negative'}]"
"The food is amazing!!!!","[{'term': 'food', 'polarity': 'positive'}]"
"The food is amazing, rich pastas and fresh doughy pizza.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'pastas', 'polarity': 'positive'}, {'term': 'pizza', 'polarity': 'positive'}]"
"The food is authentic Italian - delicious!","[{'term': 'food', 'polarity': 'positive'}]"
"The food is awesome - definitely try the striped bass.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'striped bass', 'polarity': 'positive'}]"
"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'owner', 'polarity': 'positive'}]"
"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'ambience', 'polarity': 'conflict'}]"
"The food is definitely good, but I left a bit disappointed.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'positive'}, {'term': 'specials', 'polarity': 'positive'}, {'term': 'regular menu-fare', 'polarity': 'positive'}]"
"The food is delicious and beautifully prepared along with the friendly and personable service.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The food is delicious.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is expensive, but worth every bite.","[{'term': 'food', 'polarity': 'conflict'}]"
"The food is fresh, delicious, and reasonably priced.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'priced', 'polarity': 'positive'}]"
"The food is good, I can't lie.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is good, but very expensive for the casualness of it.","[{'term': 'food', 'polarity': 'conflict'}]"
"The food is good, especially their more basic dishes, and the drinks are delicious.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}]"
"The food is great and authentic.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is great and reasonably priced.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'priced', 'polarity': 'positive'}]"
"The food is great and they have a good selecion of wines at reasonable prices.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'selecion of wines', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]"
"The food is great, service is ok.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'neutral'}]"
"The food is great.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is inventive but still keeps traditional indian flavoring.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is mostly made from scratch, fresh and well prepared.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is nothing like its menu description.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'menu description', 'polarity': 'negative'}]"
"The food is o.k., but not any better than what you get at a good neighborhood restaurant.","[{'term': 'food', 'polarity': 'neutral'}]"
"The food is okay and the prices here are mediocre.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'prices', 'polarity': 'neutral'}]"
"The food is outstanding and the service is quick, friendly and very professional.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The food is prepared quickly and efficiently.","[{'term': 'food', 'polarity': 'positive'}]"
"The food is reliable and the price is moderate.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'neutral'}]"
"The food is so cheap and the waiters are nice.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'waiters', 'polarity': 'positive'}]"
"The food is spectacular, from the appitizers to the main course, and then of course the desserts, (WOW) you'll need no more.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'appitizers', 'polarity': 'positive'}, {'term': 'main course', 'polarity': 'positive'}, {'term': 'desserts', 'polarity': 'positive'}]"
"The food is tasty and portion sizes are appropriate.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'portion sizes', 'polarity': 'positive'}]"
"The food is terrible and overall, I would have to say avoid at all costs.","[{'term': 'food', 'polarity': 'negative'}]"
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'neutral'}]"
"The food is usually good but it certainly isn't a relaxing place to go.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'negative'}]"
"The food is very good for it's price, better than most fried dumplings I've had.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'fried dumplings', 'polarity': 'negative'}]"
"The food is very good too but for the most part, it's just regular food, nothing special.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'neutral'}]"
"The food is wonderful, tasty and filling, and the service is professional and friendly.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'mussels in spicy tomato sauce', 'polarity': 'positive'}, {'term': 'fries', 'polarity': 'positive'}]"
"The food itself was just ok - nothing spectacular - but the service was awful.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'service', 'polarity': 'negative'}]"
"The food looked very appetizing and delicious since it came on a variety of fancy plates.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'plates', 'polarity': 'positive'}]"
"The food now is inconsistent.","[{'term': 'food', 'polarity': 'negative'}]"
"The food options rule.","[{'term': 'food options', 'polarity': 'positive'}]"
"The food there are sastifying.","[{'term': 'food', 'polarity': 'positive'}]"
"The food there is so good that even to order out the wait is incredible.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'wait', 'polarity': 'negative'}]"
"The food was absolutely amazing!!","[{'term': 'food', 'polarity': 'positive'}]"
"The food was absolutely horrible!","[{'term': 'food', 'polarity': 'negative'}]"
"The food was actually aweful.","[{'term': 'food', 'polarity': 'negative'}]"
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The food was amazing, the service was so attentive and personable, and how about that ambience!","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'ambience', 'polarity': 'positive'}]"
"The food was authentic.","[{'term': 'food', 'polarity': 'positive'}]"
"The food was average or above including some surprising tasty dishes.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'positive'}]"
"The food was below average, the service was pathetic, there was no ambience at all.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}, {'term': 'ambience', 'polarity': 'negative'}]"
"The food was bland oily.","[{'term': 'food', 'polarity': 'negative'}]"
"The food was boring and expensive.","[{'term': 'food', 'polarity': 'negative'}]"
"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'halibut special', 'polarity': 'positive'}, {'term': 'steak', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).","[{'term': 'food', 'polarity': 'positive'}, {'term': 'waiter', 'polarity': 'positive'}]"
"The food was delicious but do not come here on a empty stomach.","[{'term': 'food', 'polarity': 'conflict'}]"
"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!","[{'term': 'food', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}]"
"The food was exceptional.","[{'term': 'food', 'polarity': 'positive'}]"
"The food was good too.","[{'term': 'food', 'polarity': 'positive'}]"
"The food was good.","[{'term': 'food', 'polarity': 'positive'}]"
"The food was great and the service was even better.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The food was great.","[{'term': 'food', 'polarity': 'positive'}]"
"The food was just OK, I would never go back.","[{'term': 'food', 'polarity': 'neutral'}]"
"The food was just OK, at least for what food was available.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'negative'}]"
"The food was just awful, ATROCIOUS actually.","[{'term': 'food', 'polarity': 'negative'}]"
"The food was lousy - too sweet or too salty and the portions tiny.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'portions', 'polarity': 'negative'}]"
"The food was mediocre at best but it was the horrible service that made me vow never to go back.","[{'term': 'food', 'polarity': 'neutral'}, {'term': 'service', 'polarity': 'negative'}]"
"The food was not fresh, the sauces were bland and very oily.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'sauces', 'polarity': 'negative'}]"
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'portioins', 'polarity': 'negative'}]"
"The food was pretty good, but a little flavorless and the portions very small, including dessert.","[{'term': 'food', 'polarity': 'conflict'}, {'term': 'dessert', 'polarity': 'negative'}, {'term': 'portions', 'polarity': 'negative'}]"
"The food was pretty tradional but it was hot and good with large portions.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'portions', 'polarity': 'positive'}]"
"The food was really good, I had the onion soup and it was one of the best ever.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'onion soup', 'polarity': 'positive'}]"
"The food was so-so.","[{'term': 'food', 'polarity': 'neutral'}]"
"The food was spicy and delicious.","[{'term': 'food', 'polarity': 'positive'}]"
"The food was terrific and the service classy, attentive, without being overbearing.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The food was very expensive (we spent $160 for lunch for two) but extremely tasty.","[{'term': 'food', 'polarity': 'conflict'}, {'term': 'lunch', 'polarity': 'negative'}]"
"The food was very good, a great deal, and the place its self was great.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]"
"The food was very good, but not very thai.","[{'term': 'food', 'polarity': 'conflict'}]"
"The food was very well prepared.","[{'term': 'food', 'polarity': 'positive'}]"
"The food was well prepared and the service impecable.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The food's as good as ever.","[{'term': 'food', 'polarity': 'positive'}]"
"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'Thai cuisine', 'polarity': 'positive'}, {'term': 'flavors', 'polarity': 'positive'}]"
"The food, drinks and service are clearly among the best in the city.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'drinks', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]"
"The food, served in small tasting portions (as an option) is very good with each dish being better than the next.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'served', 'polarity': 'neutral'}, {'term': 'portions', 'polarity': 'positive'}, {'term': 'dish', 'polarity': 'positive'}]"
"The freshest, best variety, and the fastest delivery.","[{'term': 'variety', 'polarity': 'positive'}, {'term': 'delivery', 'polarity': 'positive'}]"
"The fried dumplings are GREAT!","[{'term': 'fried dumplings', 'polarity': 'positive'}]"
"The fried rice is amazing here.","[{'term': 'fried rice', 'polarity': 'positive'}]"
"The fried rice is really good too.","[{'term': 'fried rice', 'polarity': 'positive'}]"
"The fries are yummy.","[{'term': 'fries', 'polarity': 'positive'}]"
"The garlic mashed potatoes are hands down the best in the city!","[{'term': 'garlic mashed potatoes', 'polarity': 'positive'}]"
"The grilled cheese at home afterwards was better.!!","[{'term': 'grilled cheese', 'polarity': 'positive'}]"
"The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.","[{'term': 'hanger steak', 'polarity': 'negative'}, {'term': 'tuna', 'polarity': 'negative'}]"
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","[{'term': 'beers', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'pumkin tortelini', 'polarity': 'positive'}, {'term': 'dish', 'polarity': 'positive'}]"
"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.","[{'term': 'mayonaisse', 'polarity': 'negative'}, {'term': 'food runners', 'polarity': 'neutral'}, {'term': 'bill', 'polarity': 'negative'}, {'term': 'fries', 'polarity': 'negative'}]"
"The highly spiced chai tea was great too.","[{'term': 'chai tea', 'polarity': 'positive'}]"
"The hostess and the waitress were incredibly rude and did everything they could to rush us out.","[{'term': 'hostess', 'polarity': 'negative'}, {'term': 'waitress', 'polarity': 'negative'}]"
"The hostess is rude to the point of being offensive.","[{'term': 'hostess', 'polarity': 'negative'}]"
"The hot and sour soup was unbearably hot and tasted of only pepper and nothing else.","[{'term': 'soup', 'polarity': 'negative'}, {'term': 'pepper', 'polarity': 'negative'}]"
"The hot dogs were cold in the middle and the buns were stale.","[{'term': 'hot dogs', 'polarity': 'negative'}, {'term': 'buns', 'polarity': 'negative'}]"
"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.","[{'term': 'music', 'polarity': 'positive'}, {'term': 'in-house lady DJ', 'polarity': 'positive'}]"
"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.","[{'term': 'ingredients', 'polarity': 'positive'}, {'term': 'crust', 'polarity': 'positive'}, {'term': 'slice', 'polarity': 'positive'}]"
"The jukebox plays everything from Italian Opera to The Strokes.","[{'term': 'jukebox', 'polarity': 'positive'}]"
"The kitchen however, is almost always slow.","[{'term': 'kitchen', 'polarity': 'negative'}]"
"The lamb meat was under-cooked and EXTRMELY CHEWY.","[{'term': 'lamb meat', 'polarity': 'negative'}]"
"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.","[{'term': 'bruschettas', 'polarity': 'positive'}, {'term': 'paninis', 'polarity': 'positive'}, {'term': 'tramezzinis', 'polarity': 'positive'}]"
"The last time I went we were seated at a table in a corridor next to the kitchen.","[{'term': 'table', 'polarity': 'negative'}]"
"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'flavor', 'polarity': 'negative'}, {'term': 'dish', 'polarity': 'negative'}, {'term': 'spice', 'polarity': 'negative'}]"
"The lava cake dessert was incredible and I recommend it.","[{'term': 'lava cake dessert', 'polarity': 'positive'}]"
"The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price.","[{'term': 'lobster sandwich', 'polarity': 'conflict'}, {'term': 'price', 'polarity': 'negative'}]"
"The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.","[{'term': 'lobster sandwich', 'polarity': 'positive'}, {'term': 'spaghetti with Scallops and Shrimp', 'polarity': 'positive'}]"
"The location and ambience is Ok but the food is what makes up for it.","[{'term': 'location', 'polarity': 'neutral'}, {'term': 'ambience', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'positive'}]"
"The location is perfect.","[{'term': 'location', 'polarity': 'positive'}]"
"The lox is always fresh too.","[{'term': 'lox', 'polarity': 'positive'}]"
"The lunch special is an asbolute steal.","[{'term': 'lunch special', 'polarity': 'positive'}]"
"The main course had an average portion, and was decent overall.","[{'term': 'main course', 'polarity': 'positive'}, {'term': 'portion', 'polarity': 'neutral'}]"
"The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.","[{'term': 'noise level', 'polarity': 'negative'}, {'term': 'guy', 'polarity': 'negative'}]"
"The makhani was OK --the korma was bland.","[{'term': 'makhani', 'polarity': 'neutral'}, {'term': 'korma', 'polarity': 'negative'}]"
"The man that was hosting promised to save a table for our party of 7, then sat a party of 2 at the very table he was saving (mean while there were boths open all around).","[{'term': 'man', 'polarity': 'negative'}, {'term': 'table', 'polarity': 'neutral'}, {'term': 'table', 'polarity': 'negative'}]"
"The manager claimed that he could not compensate us for anything on the bill which just shows the lack of sophistication from the entire group.","[{'term': 'manager', 'polarity': 'negative'}, {'term': 'bill', 'polarity': 'neutral'}]"
"The meat dishes were only so-so.","[{'term': 'meat dishes', 'polarity': 'neutral'}]"
"The menu changed, portions were even smaller than before, a lentil dish was salty beyond edibility, a basmati rice dish lacked flavor.","[{'term': 'menu', 'polarity': 'negative'}, {'term': 'portions', 'polarity': 'negative'}, {'term': 'lentil dish', 'polarity': 'negative'}, {'term': 'basmati rice dish', 'polarity': 'negative'}, {'term': 'flavor', 'polarity': 'negative'}]"
"The menu choices are similar but the taste lacked more flavor than it looked.","[{'term': 'taste', 'polarity': 'negative'}, {'term': 'menu choices', 'polarity': 'neutral'}, {'term': 'flavor', 'polarity': 'negative'}]"
"The menu consisted of standard brassiere food, better then places like Balthazar etc.","[{'term': 'menu', 'polarity': 'positive'}, {'term': 'brassiere food', 'polarity': 'positive'}]"
"The menu has lots of options: I hope to go back to try those potato pancakes.","[{'term': 'menu', 'polarity': 'positive'}, {'term': 'potato pancakes', 'polarity': 'positive'}]"
"The menu is Prix Fixe, so be prepared to spend at least $60 per person, but it is Well worth itsuperb food.","[{'term': 'menu', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'Prix Fixe', 'polarity': 'neutral'}]"
"The menu is limited but almost all of the dishes are excellent.","[{'term': 'menu', 'polarity': 'negative'}, {'term': 'dishes', 'polarity': 'positive'}]"
"The menu is nothing like the one on the website.","[{'term': 'menu', 'polarity': 'negative'}]"
"The menu is very limited - i think we counted 4 or 5 entrees.","[{'term': 'menu', 'polarity': 'negative'}, {'term': 'entrees', 'polarity': 'negative'}]"
"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.","[{'term': 'menu', 'polarity': 'positive'}, {'term': 'Chilean Sea Bass', 'polarity': 'negative'}, {'term': 'server', 'polarity': 'negative'}, {'term': 'specials', 'polarity': 'neutral'}]"
"The menu may be small, but everything on it is delicious.","[{'term': 'menu', 'polarity': 'negative'}]"
"The menu prices are a bit expensive for what you get in quality and portion size.","[{'term': 'menu prices', 'polarity': 'negative'}, {'term': 'quality', 'polarity': 'negative'}, {'term': 'portion size', 'polarity': 'negative'}]"
"The menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.","[{'term': 'menu', 'polarity': 'positive'}, {'term': 'variety of dishes', 'polarity': 'positive'}, {'term': 'seafood', 'polarity': 'positive'}]"
"The menu was impressive with selections ranging from a burger, to steak, to escargot.","[{'term': 'menu', 'polarity': 'positive'}, {'term': 'burger', 'polarity': 'neutral'}, {'term': 'steak', 'polarity': 'neutral'}, {'term': 'escargot', 'polarity': 'neutral'}]"
"The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.","[{'term': 'miso soup', 'polarity': 'negative'}, {'term': 'fish', 'polarity': 'negative'}, {'term': 'flavor', 'polarity': 'negative'}]"
"The most annoying thing, though, is the fact that the servers seem to be trained to drive revenue.","[{'term': 'servers', 'polarity': 'negative'}]"
"The music does get a little loud at times, but it just made me want to lean closer to my beautiful wife, and as I did, I got a whiff of corriander.","[{'term': 'music', 'polarity': 'conflict'}, {'term': 'corriander', 'polarity': 'neutral'}]"
"The music is the best among all the Indian restaurants I have visited.","[{'term': 'music', 'polarity': 'positive'}]"
"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.","[{'term': 'mussaman curry', 'polarity': 'negative'}, {'term': 'fried tofu', 'polarity': 'negative'}, {'term': 'potato', 'polarity': 'negative'}]"
"The noise level was unbearable, conversation impossible.","[{'term': 'noise level', 'polarity': 'negative'}]"
"The noodle and rices dishes taste great.","[{'term': 'noodle and rices dishes', 'polarity': 'positive'}]"
"The octopus eaters were floored by the Octopus salad.","[{'term': 'Octopus salad', 'polarity': 'positive'}]"
